extraction_id,source_id,operation,requested_period,territory,started_at,finished_at,status,records,sha256,raw_path,validation_summary,error_or_note
diag_workspace,workspace,diagnostic_listing,,workspace,2026-08-02,2026-08-02,complete,0,,,"git sem commits; nenhum arquivo de dados ou documentação encontrado"
sih_ftp_probe,sih_legacy_ftp,connectivity_check,2008-2026,RJ,2026-08-02,2026-08-02,failed,,,,"host ftp.datasus.gov.br não respondeu em HTTP/HTTPS; FTP não suportado pelo cliente de teste"
ibge_9514_vr_2022_dc518a7c,ibge_9514_vr_2022,download,2022,3306305,2026-08-02T18:28:04+00:00,2026-08-02T18:28:05+00:00,downloaded,,a9967cedd8616ac8cb51d979b91d11ab2a1cac739edf73a6a43a918fabe05d2a,data\raw\ibge_sidra_9514_vr_2022.json,HTTP response written and SHA-256 generated,
sivep_dictionary_50b1108e,sivep_dictionary,download,2019-2025,Brasil,2026-08-02T18:28:06+00:00,2026-08-02T18:28:06+00:00,downloaded,,6b92d438cf1cab28cd3719a7bcc48df3c269cf271f7c8181e334db2e849a0e35,data\raw\sivep_srag_dicionario_2019_2025.pdf,HTTP response written and SHA-256 generated,
sim_2024_csv_b836b90f,sim_2024_csv,download,2024,RJ,2026-08-02T18:28:07+00:00,2026-08-02T18:28:55+00:00,downloaded,,13db250c90908e85d1ef9fb9cd7caa08583fb1912108b0f3260605aca0e9b787,data\raw\sim_mortalidade_geral_2024_csv.zip,HTTP response written and SHA-256 generated,
sivep_2019_parquet_01045cae,sivep_2019_parquet,download,2019,RJ,2026-08-02T18:28:59+00:00,2026-08-02T18:29:00+00:00,downloaded,,748519f593d4438b94ba781320ec127e473594853a6aa25a90ef1c18338e761a,data\raw\sivep_srag_2019_2026-03-23.parquet,HTTP response written and SHA-256 generated,
sim_discovered_2010_c099a610,sim_discovered_2010,download,2010,RJ,2026-08-02T18:57:37+00:00,2026-08-02T18:58:04+00:00,downloaded,,304e577de1e87f5f0eb8db9af3e8550722679a61758d7cb86b3744462d25fdc9,data\raw\sim_2010_Mortalidade_Geral_2010_csv.zip,HTTP response written and SHA-256 generated,
sim_discovered_2020_8f800c09,sim_discovered_2020,download,2020,RJ,2026-08-02T18:58:09+00:00,2026-08-02T18:58:46+00:00,downloaded,,ac626dff18876eaa572f724966fb05cd5f42529fc6bdd5507ce5dfbd08146142,data\raw\sim_2020_Mortalidade_Geral_2020_csv.zip,HTTP response written and SHA-256 generated,
sivep_discovered_2020_cf2ab1d1,sivep_discovered_2020,download,2020,RJ,2026-08-02T19:04:54+00:00,2026-08-02T19:06:05+00:00,downloaded,,371723b91c0e4de1ae4067c8a6ee04887430869fa8d3c561d4b9106fb89e0c0b,data\raw\sivep_2020_INFLUD20-23-03-2026.parquet,HTTP response written and SHA-256 generated,
sih_tabnet_nrrj_2024_01,sih_tabnet_nrrj,tabnet_post,2024-01,330630,2026-08-02T19:17:46+00:00,2026-08-02T19:17:46+00:00,downloaded,1463,321eda4feb1286f215e0f09c32630ca95eba7e1d409098997d4189b2bcd4690c,data\raw\sih_tabnet_nrrj_2024_01.html,TabNet POST por residência; resposta HTML preservada,
